Validator,Total Staked,Total Addresses,Labels
Chorus One,4143016.83,2252.0,3
Everstake,4774468.21,62830.0,7
MultiChain Ventures,4159622.52,6395.0,3
Binance Staking,10197928.45,24270.0,6
Sikka,6860389.609999999,23540.0,2
Citadel.one,2838464.3600000003,11684.0,1
Cosmostation,4330504.16,20185.0,3
Polychain,6568754.31,1098.0,2
hashtower,2592143.45,4276.0,1
Paradigm,6476397.14,1319.0,2
B-Harvest,2853806.9299999997,1409.0,1
Kraken,7338099.79,2249.0,5
ğŸ stake.fish,10642502.120000001,26100.0,4
GAME,6257876.550000001,17712.0,2
Certus One,2669366.8600000003,4699.0,1
Coinbase Custody,8737053.25,1996.0,0
DokiaCapital,9762711.51,3209.0,6
SG-1,7743842.84,32187.0,5
